report_date,y
4/1/2014,9.95199518
4/2/2014,9.934918085
4/3/2014,9.940695246
4/4/2014,9.95199518
4/5/2014,9.934918085
4/6/2014,9.940695246
4/7/2014,9.948758548
4/8/2014,9.992093174
4/9/2014,9.94914122
4/10/2014,9.981017595
4/11/2014,10.09966006
4/12/2014,10.11525225
4/13/2014,10.09482145
4/14/2014,10.08121453
4/15/2014,10.0495877
4/16/2014,10.07133158
4/17/2014,10.05430767
4/18/2014,10.00338381
4/19/2014,9.993166583
4/20/2014,10.00350848
4/21/2014,9.977461666
4/22/2014,9.976417255
4/23/2014,9.985263506
4/24/2014,10.00801672
4/25/2014,10.02045775
4/26/2014,10.03759847
4/27/2014,10.03709144
4/28/2014,9.971081793
4/29/2014,9.879522611
4/30/2014,9.911345024
5/1/2014,10.01942359
5/2/2014,10.00943816
5/3/2014,10.02195636
5/4/2014,9.996411743
5/5/2014,10.08639217
5/6/2014,10.18582432
5/7/2014,10.13998184
5/8/2014,9.995340703
5/9/2014,9.985984692
5/10/2014,9.943859429
5/11/2014,9.981850246
5/12/2014,9.960302814
5/13/2014,9.977077025
5/14/2014,9.973559373
5/15/2014,9.972421905
5/16/2014,9.970406186
5/17/2014,9.969708783
5/18/2014,9.93388941
5/19/2014,9.939072857
5/20/2014,9.906933798
5/21/2014,9.912846671
5/22/2014,9.968961144
5/23/2014,9.957184193
5/24/2014,9.985700751
5/25/2014,10.05685688
5/26/2014,10.08749252
5/27/2014,10.13112518
5/28/2014,10.11910487
5/29/2014,10.05644407
5/30/2014,9.987470846
5/31/2014,10.01201225
6/1/2014,9.965986192
6/2/2014,9.982217209
6/3/2014,9.9620313
6/4/2014,9.963710463
6/5/2014,9.979756711
6/6/2014,10.05256043
6/7/2014,10.0143153
6/8/2014,9.982189656
6/9/2014,9.922266156
6/10/2014,9.969239189
6/11/2014,10.03198076
6/12/2014,9.976450932
6/13/2014,10.05152043
6/14/2014,10.12418067
6/15/2014,10.19924771
6/16/2014,10.22404296
6/17/2014,10.1796675
6/18/2014,10.17862123
6/19/2014,10.33848369
6/20/2014,10.29752049
6/21/2014,10.2731727
6/22/2014,10.30901579
6/23/2014,10.36245948
6/24/2014,10.4084857
6/25/2014,10.43643098
6/26/2014,10.38901407
6/27/2014,10.41611431
6/28/2014,10.39502369
6/29/2014,10.32080244
6/30/2014,10.26646166
7/1/2014,10.20631931
7/2/2014,10.1994385
7/3/2014,10.15677885
7/4/2014,10.10386945
7/5/2014,10.08973643
7/6/2014,10.06065377
7/7/2014,10.07727989
7/8/2014,10.06238237
7/9/2014,9.975145192
7/10/2014,9.97632921
7/11/2014,9.959134679
7/12/2014,9.919995072
7/13/2014,9.898477218
7/14/2014,9.884174316
7/15/2014,9.862716481
7/16/2014,9.867298715
7/17/2014,9.847090883
7/18/2014,9.906340345
7/19/2014,9.954009095
7/20/2014,9.991748174
7/21/2014,10.01224545
7/22/2014,10.04421894
7/23/2014,10.12857066
7/24/2014,10.12105135
7/25/2014,10.08747114
7/26/2014,10.05890001
7/27/2014,10.02814466
7/28/2014,9.994961448
7/29/2014,9.98802394
7/30/2014,9.916382643
7/31/2014,9.876607085
8/1/2014,9.865872716
8/2/2014,9.819830942
8/3/2014,9.835968906
8/4/2014,9.822082935
8/5/2014,9.85113891
8/6/2014,9.84235578
8/7/2014,9.898627674
8/8/2014,9.934432207
8/9/2014,9.980655195
8/10/2014,9.989742176
8/11/2014,9.962940871
8/12/2014,9.922121716
8/13/2014,9.962508129
8/14/2014,9.916843861
8/15/2014,9.846788251
8/16/2014,9.817758586
8/17/2014,9.758287279
8/18/2014,9.762036637
8/19/2014,9.721010756
8/20/2014,9.706159195
8/21/2014,9.749878815
8/22/2014,9.7753439
8/23/2014,9.790297312
8/24/2014,9.909014665
8/25/2014,9.950956593
8/26/2014,10.00965999
8/27/2014,10.00584998
8/28/2014,10.06526195
8/29/2014,10.00965999
8/30/2014,10.00584998
8/31/2014,10.06526195
