20140901,447359803,361519620
20140902,356910252,292848908
20140903,356910252,292848908
20140904,356910252,292848908
20140905,266157189,230223670
20140906,168843743,141817233
20140907,166432391,158104790
20140908,197689823,171444666
20140909,332940816,315575489
20140910,356910252,292848908
20140911,323388992,305704199
20140912,256306423,270956499
20140913,198710981,182852465
20140914,196299629,199140022
20140915,342503221,355706504
20140916,323388992,305704199
20140917,323388992,305704199
20140918,323388992,305704199
20140919,256306423,270956499
20140920,198710981,182852465
20140921,166311283,220990771
20140922,312514875,377557254
20140923,293400646,327554948
20140924,293400646,327554948
20140925,293400646,327554948
20140926,226318077,292807249
20140927,205667576,236538921
20140928,239577956,447928074
20140929,336484311,354830673
20140930,293400646,327554948
