20140901,422456714,341721939
20140902,329579986,272023252
20140903,329579986,272023252
20140904,329579986,272023252
20140905,251275552,230379164
20140906,165271223,150021134
20140907,158929068,151939117
20140908,177577812,173688033
20140909,309832830,286611504
20140910,329579986,272023252
20140911,308451759,266745146
20140912,244311711,254105974
20140913,191492337,174327755
20140914,185150182,176245738
20140915,324677758,327398931
20140916,308451759,266745146
20140917,308451759,266745146
20140918,308451759,266745146
20140919,244311711,254105974
20140920,191492337,174327755
20140921,163177603,213573034
20140922,302705179,364726227
20140923,286479180,304072441
20140924,286479180,304072441
20140925,286479180,304072441
20140926,222339132,291433270
20140927,211129451,317857738
20140928,314200559,449591975
20140929,268238532,345817222
20140930,272314793,275067524
