report_date,y
2014-04-01,
2014-04-02,
2014-04-03,
2014-04-04,-820.3444644444568
2014-04-05,2448.2469293790427
2014-04-06,-965.9377859344359
2014-04-07,-9074.925943265334
2014-04-08,-1866.6837379457038
2014-04-09,3183.1258552278205
2014-04-10,5279.361184773071
2014-04-11,2227.356754234032
2014-04-12,-6866.600813481912
2014-04-13,-1740.0970255258899
2014-04-14,10303.574898490471
2014-04-15,-869.9915426794296
2014-04-16,-3474.3071863258438
2014-04-17,668.8608702710723
2014-04-18,-198.26336464940653
2014-04-19,-1126.1063048300812
2014-04-20,-815.793398522098
2014-04-21,1187.2597058882138
2014-04-22,-406.7660355090384
2014-04-23,963.1754206356391
2014-04-24,-1775.336765320922
2014-04-25,-599.0667294307528
2014-04-26,-1206.6598319234245
2014-04-27,1180.1783277834556
2014-04-28,3611.0586393843487
2014-04-29,4191.8088063767345
2014-04-30,1729.8445850128564
2014-05-01,-11504.463591851354
2014-05-02,-11998.792035001257
2014-05-03,1624.01848678861
2014-05-04,21616.772058295257
2014-05-05,-1693.3775483580348
2014-05-06,556.0562150613141
2014-05-07,-7713.59758070814
2014-05-08,1943.637293513077
2014-05-09,1041.430322689292
2014-05-10,-577.8567775837573
2014-05-11,-1912.5379354417646
2014-05-12,76.55023216571226
2014-05-13,-2780.8887709199307
2014-05-14,3296.8235105464455
2014-05-15,-1018.5861604491159
2014-05-16,4334.900690749371
2014-05-17,-1654.3693771905482
2014-05-18,-861.1294338734288
2014-05-19,229.97889222295362
2014-05-20,-1201.4994206844685
2014-05-21,-1635.7002506928648
2014-05-22,375.96879782581766
2014-05-23,-72.82179691724343
2014-05-24,-1024.0819262458526
2014-05-25,2959.0695173349313
2014-05-26,-5532.822497958069
2014-05-27,-1385.7229188731917
2014-05-28,7890.237170626367
2014-05-29,2668.1859885382496
2014-05-30,5227.58823341503
2014-05-31,-4296.194743245661
2014-06-01,-3025.021288370429
2014-06-02,-13295.016122431076
2014-06-03,7379.4161689538005
2014-06-04,690.4439419328273
2014-06-05,7920.940497185958
2014-06-06,554.4337103038164
2014-06-07,-3168.8135349174963
2014-06-08,-1141.819727163972
2014-06-09,-809.9989135998976
2014-06-10,-294.7449077204519
2014-06-11,-5362.244208551797
2014-06-12,-2590.986852241132
2014-06-13,9364.355657864086
2014-06-14,-366.29763227389685
2014-06-15,-13298.306612580342
2014-06-16,7376.815166500482
2014-06-17,10444.920217653762
2014-06-18,3938.853052073505
2014-06-19,-8058.486737687411
2014-06-20,-5080.655607937933
2014-06-21,-2400.130769147446
2014-06-22,6544.046973582485
2014-06-23,-5639.32749237896
2014-06-24,-1362.623821499289
2014-06-25,8843.931643886393
2014-06-26,1891.2615783436763
2014-06-27,597.3571770531274
2014-06-28,-2120.855359675853
2014-06-29,-2119.326857857034
2014-06-30,4527.394103680313
2014-07-01,12.286274503871937
2014-07-02,-3047.154040250828
2014-07-03,-2706.5542255156265
2014-07-04,-1723.459437222023
2014-07-05,5932.206918297602
2014-07-06,-712.985621615232
2014-07-07,-2426.6668288006795
2014-07-08,778.2433340413254
2014-07-09,-3092.7064353294254
2014-07-10,4611.297301300957
2014-07-11,-971.7556017535677
2014-07-12,-1133.0052913347763
2014-07-13,2691.936385724749
2014-07-14,-1409.6471844620346
2014-07-15,-1990.2009106283958
2014-07-16,-3707.406278518897
2014-07-17,4899.718013156841
2014-07-18,-3077.3224880703997
2014-07-19,-2225.8859747106007
2014-07-20,-2336.8476650332677
2014-07-21,7146.56171441612
2014-07-22,1947.5213821279858
2014-07-23,-3961.66697022632
2014-07-24,2340.878674261194
2014-07-25,-2268.1374314973978
2014-07-26,6712.201200063014
2014-07-27,-3064.76512545923
2014-07-28,986.2668398600626
2014-07-29,-1415.1223295121135
2014-07-30,-3908.035442239029
2014-07-31,1748.587020610425
2014-08-01,1303.6587935678913
2014-08-02,2248.3607426198823
2014-08-03,-2687.5488131213815
2014-08-04,2101.2454844187605
2014-08-05,-5973.142599347561
2014-08-06,-268.79244002083124
2014-08-07,-411.15889557617754
2014-08-08,4592.045169362231
2014-08-09,-1998.478754642888
2014-08-10,-892.6776794294756
2014-08-11,6609.706876229339
2014-08-12,-493.5895533541707
2014-08-13,-971.3320627588064
2014-08-14,-4861.025156855268
2014-08-15,316.7272606244554
2014-08-16,6105.348500162459
2014-08-17,7.285567831205299
2014-08-18,-2042.306636438202
2014-08-19,-768.4074248747975
2014-08-20,-4148.471651683635
2014-08-21,-358.3382465139815
2014-08-22,-2904.846496924996
2014-08-23,4939.342629907455
2014-08-24,419.89445538982636
2014-08-25,-2387.93506955057
2014-08-26,-4656.480109156343
2014-08-27,10599.367683378467
2014-08-28,-1219.3722717554497
2014-08-29,
2014-08-30,
2014-08-31,
